 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Hassan;10;17;12;16;15;12;19;24;19;17;
Hauk;14;:;14;5;10;19;8;14;15;9;
Heine;30;45;38;34;46;56;42;36;48;41;
Helge;10;9;9;8;8;12;7;12;11;13;
Helmer;24;23;8;13;5;:;6;8;4;:;
Henning;11;16;20;21;24;25;22;28;45;46;
Henrik;354;304;346;332;323;348;385;422;401;426;
Henry;43;32;39;29;26;30;27;19;20;17;
Herman;174;152;156;161;162;150;161;161;180;163;
Hermann;9;12;9;9;12;15;18;19;13;15;
Hjalmar;13;15;7;6;7;4;5;6;:;8;
Hugo;28;25;40;24;18;23;14;9;11;9;
Hussein;12;15;6;10;11;7;13;11;8;10;
Håkon;197;203;200;202;207;208;200;171;190;213;
Håvard;53;43;71;61;96;86;104;109;104;130;
Ian;14;9;6;15;13;10;13;12;12;10;
Iben;8;:;7;4;4;8;10;4;8;6;
Ibrahim;36;49;38;40;41;36;44;30;31;35;
Igor;16;9;10;9;11;10;9;7;7;10;
Ilyas;10;15;11;13;10;13;10;8;10;10;
Imran;13;16;10;12;10;7;6;:;:;4;
Imre;21;31;28;25;20;34;22;19;20;17;
Ingmar;4;6;5;5;:;10;:;:;:;:;
Isa;6;14;4;5;11;8;7;6;4;:;
Isaac;29;24;19;16;18;16;21;16;18;12;
Isac;30;23;22;25;12;27;24;28;18;14;
Isak;290;300;283;253;246;294;331;206;243;214;
Ismail;13;22;19;16;16;19;15;23;9;15;
Ivan;14;7;24;22;11;10;20;20;17;19;
Ivar;32;33;30;26;21;32;30;33;27;28;
Iver;141;145;132;130;141;122;115;114;92;100;
Ivo;12;8;8;11;7;6;12;7;10;5;
Jack;10;20;14;10;5;9;12;14;10;6;
Jacob;140;138;160;127;142;139;134;115;102;105;
Jakob;231;242;224;248;239;233;224;190;212;183;
Jakub;23;37;32;27;42;32;44;39;40;34;
James;8;10;14;9;12;8;9;13;7;8;
Jamie;12;6;9;7;11;10;:;5;5;:;
Jan;65;72;67;56;60;72;80;80;75;57;
Jaran;9;9;6;4;11;:;10;6;7;6;
Jarand;5;:;:;7;8;8;12;10;6;7;
Jarle;10;6;:;6;7;4;7;13;4;7;
Jasper;11;8;6;8;12;10;8;5;10;:;
Jayden;:;5;5;11;:;7;:;:;:;:;
Jens;58;72;78;88;67;92;85;81;80;83;
Jeppe;10;9;12;7;9;12;18;11;7;6;
Jesper;88;86;92;103;118;120;117;144;131;142;
Jimmy;:;:;:;4;5;7;12;7;9;:;
Jo;16;26;18;15;20;22;26;20;25;22;
Joachim;20;17;19;41;31;33;50;33;47;50;
Joakim;35;47;56;68;62;95;103;113;136;125;
Joar;9;11;14;7;5;7;12;10;11;19;
Joel;26;29;21;31;22;20;24;22;19;25;
Johan;156;161;179;135;161;143;156;115;120;113;
Johann;4;7;7;8;8;7;9;4;12;:;
Johannes;249;247;224;218;222;236;223;224;246;247;
John;52;53;62;51;55;66;72;73;69;75;
Johnny;:;:;5;:;:;:;:;12;:;:;
Jon;47;47;51;62;54;76;67;67;65;79;
Jonah;27;18;27;22;28;35;19;23;21;8;
Jonas;326;313;397;395;421;458;448;470;562;482;
Jonatan;31;27;36;43;50;51;61;44;37;42;
Jonathan;153;172;194;209;197;197;176;151;148;143;
Jone;17;20;17;17;20;34;26;19;14;31;
Josef;23;22;18;21;13;17;14;14;19;13;
Joseph;7;6;7;9;12;14;7;5;9;7;
Joshua;12;12;10;15;11;18;12;18;14;9;
Jostein;12;14;11;16;18;14;19;12;23;29;
Julian;159;185;221;225;226;193;201;215;176;156;
Julius;13;23;18;20;19;19;15;15;11;21;
Justin;:;6;8;5;14;10;:;10;9;:;
Jøran;:;4;7;:;:;:;:;9;11;10;
Jørgen;70;61;76;90;112;144;144;153;159;172;
Kacper;20;32;25;32;26;27;26;29;32;25;
Kai;7;19;14;15;19;9;11;10;17;13;
Kajus;11;15;13;9;8;8;9;4;:;:;
Kamil;:;:;9;11;6;6;7;7;5;14;
Karl;51;35;48;67;62;56;55;59;56;63;
Karol;4;7;13;8;8;5;5;8;10;7;
Karsten;15;20;17;10;18;16;19;18;19;14;
Kaspar;4;7;4;:;4;:;6;8;7;11;
Kasper;182;165;164;177;181;212;170;156;155;144;
Kaspian;17;11;13;11;12;:;11;:;:;:;
Ken;5;:;6;4;6;4;4;7;10;14;
Kenan;4;:;11;:;4;:;11;6;:;5;
Kenneth;5;12;8;9;5;15;13;15;21;31;
Kent;:;4;4;6;7;11;9;8;8;8;
Kevin;102;105;116;144;143;150;159;138;138;165;
Khalid;13;19;17;11;16;13;14;11;16;9;
Kian;21;17;23;11;11;11;17;4;6;6;
Kim;16;21;20;20;28;34;23;31;40;36;
Kjell;5;6;6;7;7;18;9;7;12;16;
Kjetil;8;6;:;5;8;13;10;19;8;17;
Knut;30;26;44;32;38;41;43;52;66;59;
Konrad;50;40;32;37;47;39;30;21;36;24;
Kornelius;17;21;22;13;17;23;10;8;5;12;
Kristian;175;179;195;243;265;243;270;299;296;319;
Kristoffer;96;81;119;152;152;204;217;226;220;263;
Kristupas;10;4;11;:;6;6;:;:;:;5;
Krystian;7;6;7;5;10;7;13;5;10;4;
Kåre;:;4;5;8;4;8;5;6;:;10;
Lars;115;125;152;157;157;161;186;200;194;220;
Lasse;28;25;29;30;34;47;33;45;49;55;
Laurits;15;11;9;14;15;7;17;16;13;12;
Lauritz;11;13;20;12;10;15;15;12;12;9;
Lavrans;24;7;10;10;9;4;12;11;11;10;
Leander;152;139;191;153;190;163;147;130;121;77;
Leif;16;10;10;12;17;13;11;13;23;13;
Leo;141;163;162;147;140;142;127;114;117;98;
Leon;288;242;278;289;324;280;222;181;156;135;
Leonard;36;32;46;24;30;37;22;26;27;22;
Leonardo;8;9;7;8;13;6;10;8;12;8;
Leonel;15;14;8;5;7;4;:;:;:;:;
Levi;57;44;64;50;45;38;34;25;10;10;
Liam;314;342;337;254;233;171;82;67;69;52;
Linus;99;120;114;154;148;141;133;164;127;80;
Lionel;8;10;16;12;6;:;:;:;:;:;
Loke;45;39;36;23;26;18;18;13;18;19;
Louis;23;15;15;8;17;11;9;10;10;11;
Luca;32;24;28;23;26;18;23;19;18;13;
Lucas;271;256;318;318;339;352;336;248;184;126;
Ludvig;142;133;123;142;101;76;75;83;74;53;
Ludvik;53;53;75;76;80;65;62;53;41;44;
Luis;8;14;9;8;6;10;11;7;5;4;
Luka;18;18;18;18;28;17;29;10;13;8;
Lukas;177;189;235;203;207;250;270;258;254;188;
Lyder;16;8;8;8;8;9;:;8;6;:;
Maciej;:;:;:;7;7;14;18;8;11;8;
Mads;39;56;54;78;79;87;101;98;82;98;
Magne;15;16;10;12;10;18;8;13;14;15;
Magnus;377;349;382;400;443;457;437;444;393;435;
Mahamed;4;7;10;8;10;14;5;12;9;9;
Mahdi;4;5;:;:;4;10;8;6;4;:;
Maksymilian;12;15;8;11;15;9;15;11;6;6;
Malik;9;5;5;9;7;9;9;10;8;5;
Malvin;8;13;9;8;4;5;6;5;4;:;
Marcel;20;19;19;15;17;18;19;16;9;16;
Marco;12;16;13;15;8;11;17;17;18;11;
Marcus;161;156;165;177;195;204;206;211;210;222;
Mario;11;19;7;15;12;5;4;10;6;7;
Marius;168;214;226;211;256;295;298;335;295;326;
Markus;262;179;220;203;258;257;257;264;240;316;
Martin;237;220;304;307;340;341;363;397;398;417;
Martinius;19;11;9;11;4;13;16;13;11;4;
Martinus;14;15;16;12;17;14;18;10;8;10;
Marvin;5;5;9;10;9;:;4;:;7;:;
Matas;17;19;14;10;13;16;12;9;10;6;
Mateo;31;29;19;28;17;28;18;10;9;6;
Mateusz;5;7;10;13;10;19;18;13;18;17;
