 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Emmelin;4;9;8;6;10;8;6;:;:;:;
Emmeline;14;16;18;17;13;11;6;7;7;6;
Emmie;10;8;4;:;5;:;4;:;:;:;
Emmy;18;15;13;12;12;14;9;6;9;9;
Enya;16;18;10;4;12;19;13;15;11;6;
Erica;14;17;22;27;17;23;27;29;33;26;
Erika;28;34;41;40;40;42;48;47;40;44;
Erle;68;82;81;87;74;102;94;86;80;46;
Ester;11;11;17;17;12;14;11;8;13;7;
Esther;23;31;21;12;10;16;15;9;5;10;
Eva;113;134;108;115;91;98;87;85;67;86;
Evelina;22;22;14;19;20;16;14;11;19;4;
Eveline;10;9;7;5;:;5;4;:;:;7;
Evelyn;31;27;27;19;7;10;12;11;9;13;
Fanny;5;11;9;7;10;5;12;15;16;16;
Fatima;33;34;35;34;31;26;35;28;33;18;
Felicia;17;15;14;15;15;14;29;20;15;12;
Filippa;47;42;53;56;49;39;43;28;36;36;
Fiona;21;17;12;13;11;13;21;9;18;8;
Fredrikke;15;14;15;11;14;6;7;11;10;11;
Freja;14;10;8;11;6;12;7;5;4;7;
Freya;14;16;12;20;14;17;13;5;19;15;
Frida;260;230;241;242;247;243;255;274;260;257;
Fride;17;19;24;27;29;11;14;18;16;15;
Frøya;46;24;41;30;29;41;29;38;35;37;
Frøydis;5;:;:;4;:;:;11;:;6;4;
Gabija;9;7;7;10;9;11;7;11;9;5;
Gabriela;9;12;17;11;20;17;14;15;12;14;
Gabriele;9;12;8;4;6;4;11;:;10;4;
Gabriella;14;20;29;28;27;20;30;17;16;9;
Gina;5;13;12;11;15;10;19;17;25;25;
Greta;6;7;10;12;10;10;8;7;6;7;
Gunhild;6;4;5;7;10;4;6;7;6;5;
Guro;14;24;34;32;39;52;50;66;65;75;
Hafsa;10;8;18;12;14;9;17;16;11;10;
Hailey;12;5;10;8;6;7;:;:;:;:;
Halima;8;5;10;6;4;5;6;9;4;8;
Hana;7;11;12;17;14;14;12;8;9;12;
Hanna;150;170;189;200;182;214;188;203;228;221;
Hannah;95;115;116;123;127;166;179;191;200;214;
Hanne;24;22;30;22;36;45;47;57;76;80;
Hedda;209;190;217;179;213;186;228;231;267;254;
Hedvig;50;44;53;30;39;30;43;32;30;31;
Heidi;26;29;31;18;28;25;25;22;29;40;
Helen;11;10;11;7;13;13;11;11;12;10;
Helena;57;67;74;70;81;63;70;73;88;58;
Helene;94;110;99;120;128;129;200;174;221;241;
Helin;8;5;7;9;10;11;9;11;9;13;
Helle;46;67;60;49;54;48;57;50;52;55;
Helmine;11;:;4;8;8;7;7;:;4;:;
Hennie;47;44;26;31;19;17;26;16;17;14;
Henny;30;30;28;20;19;25;13;15;12;12;
Henriette;45;35;37;59;85;73;73;85;96;106;
Henrikke;6;7;4;6;:;9;12;5;12;6;
Hermine;95;93;100;87;61;54;47;44;57;36;
Hilde;4;:;11;8;7;6;9;11;6;13;
Iben;90;92;96;80;57;50;64;73;74;72;
Ida;290;295;328;321;384;429;424;405;422;463;
Idun;9;9;7;16;12;13;12;17;12;24;
Idunn;12;11;8;7;16;5;5;9;7;9;
Iman;19;19;13;19;11;25;19;19;24;19;
