Navn Kjønn
Gaëlle Kv
Gaëtan M
Gaetana Kv
Gaetano M
Gaia Kv
Gaprial M
Garance Kv
Garðar M
Gary M
Gascão M
Gaspar M
Gaspard M
Gàspare M
Gastão M
Gastón M
Gauthier M
Gauti M
Gavin M
Geert M
Geertje Kv
Geertruida Kv
Geike Kv
Geira Kv
Geirbjørn M
Geirbrandur M
Geirfinnur M
Geirhild Kv
Geiri M
Geirmundur M
Geirolvur M
Geirtrúð Kv
Geirur M
Gema Kv
Gemma Kv
Gennaro M
Geoffrey M
Georg M
George M
Georgia Kv
Georgie Kv
Georgina Kv
Gerard M
Gérard M
Gerardo M
Gerardus M
Gerben M
Gerben M
Gerð Kv
Gerda Kv
German M
Germán M
Germána Kv
Gerrit M
Gestur M
Geythild Kv
Geyti M
Giacomo M
Giancarlo M
Gianfranco M
Gianni M
Giel M
Gilbert M
Giljanna Kv
Gilles M
Gillette Kv
Gilli M
Gillian M
Gilstein M
Gina Kv
Gino M
Gioia Kv
Giorgio M
Giovanna Kv
Giovanni M
Gíslar M
Gisleyg Kv
Gísleyg Kv
Gísli M
Gissur M
Gitte Kv
Giulia Kv
Giulian M
Giuliano M
Giulio M
Giuseppa Kv
Giusèppe M
Giuseppina Kv
Gladys Kv
Glen M
Glenn M
Glóa Kv
Gloria Kv
Glúmur M
Glæma Kv
Gonçalo M
Gonzalo M
Gordon M
Gormundur M
Gormur M
Gortra Kv
Grace Kv
Grâce Kv
Gracie Kv
Graeme M
Graham M
Grainne Kv
Grant M
Grazia Kv
Graziella Kv
Greetje Kv
Greg M
Grégoire M
Gregor M
Gregorio M
Gregório M
Grégory M
Greig M
Greipur M
Greta Kv
Grétar M
Grettir M
Grias M
Grietje Kv
Grimhild Kv
Grímolvur M
Grímur M
Gripur M
Gróa Kv
Grækaris M
Guðbjartur M
Gudbjørg Kv
Guðbjørg Kv
Guðbjörg Kv
Guðbrandur M
Gudfinna Kv
Gudfinnur M
Gudjón M
Guðjón M
Guðlakur M
Guðlaug Kv
Guðlaugur M
Gudleyg Kv
Gudleygur M
Gudmar M
Gudmundur M
Guðmundur M
Guðni M
Gudný Kv
Guðný Kv
Guðrið Kv
Guðríður Kv
Gudrun Kv
Guðrun Kv
Guðrún Kv
Gudvør Kv
Guerrino M
Guglielmo M
Guida Kv
Guido M
Guilherme M
Guilhermina Kv
Guilhermino M
Guiliana Kv
Guillem M
Guillermo M
Gulakur M
Gullbjørg Kv
Gullborg Kv
Gullbrandur M
Gundur M
Gunn Kv
Gunna Kv
Gunnálvur M
Gunnar M
Gunnbjørg Kv
Gunnbjørn M
Gunnbrit Kv
Gunnfríð Kv
Gunngerð Kv
Gunnhild Kv
Gunnhildur Kv
Gunni M
Gunnlaugur M
Gunnleikur M
Gunnleivur M
Gunnleyg Kv
Gunnleygur M
Gunnolvur M
Gunnrið Kv
Gunnstein M
Gunnvá Kv
Gunnvaldur M
Gunnvør Kv
Gurli Kv
Gust M
Gustaf M
Gustav M
Gustav M
Gustavo M
Gusti M
Gutti M
Guttormur M
Guus M
Gyða Kv
Gylta Kv
Gylvi M
Hábarður M
Hadrien M
Hafdís Kv
Hafsteinn M
Hafþór M
Hagbarður M
Hákon M
Hákun M
Halda Kv
Halgir M
Halla Kv
Hallbera Kv
Hallbergur M
Hallbjørg Kv
Hallbjørn M
Halldis Kv
Halldór M
Halldóra Kv
Hallfríð Kv
Hallfríður M
Hallgeir M
Hallgerð Kv
Hallgrímur M
Hallgunn Kv
Hallmar M
Hallmundur M
Hallormur M
Hallstein M
Hallur M
Hallvarður M
Hallveig Kv
Hallvør Kv
Hálvdan M
Hamish M
Hampus M
Hámundur M
Hanna Kv
Hannah Kv
Hannelore Kv
Hannes M
Hannis M
Hannus M
Hansa Kv
Hansina Kv
Hanus M
Haraldur M
Hárikur M
Harley M
Harm M
Harold M
Harpa Kv
Harriet Kv
Harris M
Harrison M
Harvey M
Hástein M
Haukur M
Havanna Kv
Hávar M
Hávarður M
Havdis Kv
Havgerð Kv
Havgrímur M
Havliði M
Havstein M
Hayden M
Hayleigh Kv
Hazel Kv
Heather Kv
Hector M
Héctor M
Heðin M
Heiða Kv
Heiðar M
Heiðdis Kv
Heidi Kv
Heiðrikur M
Heiðrun Kv
Heiðrún Kv
Heiðveig Kv
Heiðvík Kv
Heiðvør Kv
Heike Kv
Heike M
Heimir M
Heindrikur M
Heini M
Heinina Kv
Heinrikur M
Heitor M
Hekla Kv
Hektor M
Heleen Kv
Helena Kv
Hélène Kv
Helga Kv
Helgi M
Helma Kv
Helmi Kv
Héloïse Kv
Hemingur M
Hemmingur M
Hendrik M
Hendrik M
Hendrika Kv
Hendrikje Kv
Hendrikur M
Hendrikus M
Henk M
Henningur M
Henný Kv
Henri M
Henrietta Kv
Henrik M
Henrikka Kv
Henrique M
Henriqueta Kv
Hensar M
Herálvur M
Herbert M
Herbjartur M
Herbjørg Kv
Herbjørn M
Herborg Kv
Herbrandur M
Herdis Kv
Herdís Kv
Herfinnur M
Herfríð Kv
Herfríður M
Hergeir M
Hergerð Kv
Hergrímur M
Hergunn Kv
Heri M
Herjolvur M
Herleivur M
Herleygur M
Herman M
Hermann M
Hermínia Kv
Hermóður M
Hermundur M
Hernán M
Hernándo M
Herningur M
Herolvur M
Herrið Kv
Herstein M
Herta Kv
Hervarður M
Hervør Kv
Hidde M
Hilbert M
Hilda Kv
Hildar M
Hildibjartur M
Hildibjørg Kv
Hildibjørn M
Hildibjørt Kv
Hildibrandur M
Hildigarð Kv
Hildigerð Kv
Hildigunn Kv
Hilding M
Hildur Kv
Hildur Kv
Hildur Kv
Hildur Kv
Hildur Kv
Hildur Kv
Hillevi Kv
Hilma Kv
Hilmar M
Hilmir M
Hinrik M
Hjalgrímur M
Hjalma Kv
Hjalmar M
Hjálmar M
Hjalti M
Hjarnar M
Hjartvar M
Hjartvør Kv
Hjørdis Kv
Hjördís Kv
Hjørgrímur M
Hjørleivur M
Hjørmundur M
Hjørtur M
Hjörtur M
Hlín Kv
Hlynur M
Holgar M
Hollie Kv
Holly Kv
Hólm M
Hólmfríður Kv
Honor Kv
Honoré M
Honorine Kv
Hope Kv
Hóraldur M
Hórður M
Hóri M
Hortense Kv
Hrafn M
Hrafnhildur Kv
Hrefna Kv
Hrund Kv
Hrönn Kv
Hubert M
Hugi M
Hugi M
Hugi M
Hugin M
Hugo M
Huld Kv
Hulda Kv
Húnbogi M
Húngerð Kv
Húngunn Kv
Húni M
Høgnar M
Høgni M
Hørður M
Hörður M
Høskuldur M
Håkan M
Iago M
Iain M
Ian M
Ibe M
Iben Kv
Iben M
Ida Kv
Iðunn Kv
Íðunn Kv
Ignacio M
Ignazio M
Iida Kv
Iker M
Ilan M
Ilana Kv
Ilayda Kv
Ilda Kv
Ilmari M
